"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_00101",4006.91577880844,3897.74506203404,3872.13622969185,18327.9828497243,18718.6861866185,19227.0499750375
"PHJJKLOP_00102",3576.07703983596,3494.83652762566,3500.92316965527,9764.36418050678,10159.7864041789,9921.20931557366
"PHJJKLOP_00103",174.414610147038,155.040784073814,140.804953806976,792.000450964096,850.725827851252,934.448700018574
"PHJJKLOP_00104",0,0,0,0.910345345935743,1.81198259393238,0.990931813381309
"PHJJKLOP_00105",7183.34079804258,7418.25713351906,7078.64904138708,10486.2680398338,11567.6968796643,11077.6267417897
"PHJJKLOP_00106",3070.15916404521,3321.03284611616,3064.64115369275,7045.16263219671,7404.66687010467,6791.84664891549
"PHJJKLOP_00107",2903.82999940168,2735.43294193927,2743.56319084502,6669.19000432525,6056.55182021898,5611.64685917835
"PHJJKLOP_00108",1629.79480077795,1695.57341563528,1591.52265969704,4306.843831622,4527.23851094005,4526.57652352582
"PHJJKLOP_00109",711.519204308447,728.790437238694,646.422742477482,1848.00105224956,1876.30797601698,1925.38051339988
"PHJJKLOP_00110",1252.08898939993,1252.17652360253,1264.04447167626,3610.42964198116,3367.56965082333,3202.69162084839
"PHJJKLOP_00111",1613.62390977094,1705.44862481196,1565.92175900486,4309.57486765981,4454.75920718276,4413.61029680035
"PHJJKLOP_00112",1368.75041737907,1358.82878271063,1377.11511640005,3886.26428179969,4246.38120888053,3790.31418618351
"PHJJKLOP_00113",555.585612455135,594.487592435899,550.419364881816,1449.2697907297,1426.93629272175,1370.45869790635
"PHJJKLOP_00114",345.364029364003,394.020846149375,343.478750953382,977.710901534988,899.649357887427,1001.8320633285
"PHJJKLOP_00115",1215.12695281248,1367.71647096964,1273.64480943583,2397.84964119475,2292.15798132446,2304.90739792492
"PHJJKLOP_00116",231.012728671574,234.042457487223,203.740501341913,415.117477746699,458.431596264892,456.819565968783
"PHJJKLOP_00117",2112.61140370154,2001.70490011224,1965.93583232013,6492.58300721372,6734.23331034969,6622.39730882729
"PHJJKLOP_00118",1.15506364335787,0.987520917667607,0,0.910345345935743,0.90599129696619,0
"PHJJKLOP_00119",4801.59956543866,4649.24848037909,4619.89587074253,18999.8177150249,18810.191307612,18861.3961358998
"PHJJKLOP_00120",1697.94355573607,1663.97274626992,1660.85843240502,6738.37625061637,6669.00193696812,7183.26471520111
"PHJJKLOP_00121",1146.97819785436,1166.26220376544,1206.44244511887,5016.00285610594,5042.74755891381,5070.59808907216
"PHJJKLOP_00122",273.750083475815,339.707195677657,297.610470546564,2101.07705841969,2306.65384207592,2426.79201097083
"PHJJKLOP_00123",2422.16846012145,2295.98613357719,2236.87869797901,6709.24519954642,6441.59812142961,6283.49862865088
"PHJJKLOP_00124",6506.47350303487,6780.31862070579,6538.89671846034,12403.4553383745,12768.1353481445,12494.6592349249
"PHJJKLOP_00125",3440.93459356309,3468.17346284863,3394.25275010454,6883.12116062015,7111.12568988763,6924.63151190859
